Year,Urban Area,Functional Class,Functional Class Code,Vehicle Miles Travelled
1996,Rural,Minor Collector,8,17826
1996,Rural,Local,9,8977
1996,Small Urban,Interstate,11,1731
1996,Small Urban,Other Fwys & Exp,12,962
1996,Small Urban,Other Princ Arterial,14,2663
1996,Small Urban,Minor Arterial,16,5107
1996,Small Urban,Collector/Major Collector,17,2593
1996,Small Urban,Local,19,1620
1996,Urbanized,Interstate,11,40543
1996,Urbanized,Other Fwys & Exp,12,42542
1996,Urbanized,Other Princ Arterial,14,45603
1996,Urbanized,Minor Arterial,16,44315
1996,Urbanized,Collector/Major Collector*,17,24137
1996,Urbanized,Local,19,25670
1997,Rural,Interstate,1,16915
1997,Rural,Other Princ Arterial**,2,14492
1997,Rural,Minor Arterial,6,16580
1997,Rural,Major Collector,7,12555
1997,Rural,Minor Collector,8,18887
1997,Rural,Local,9,9356
1997,Small Urban,Interstate,11,1791
1997,Small Urban,Other Fwys & Exp,12,998
1997,Small Urban,Other Princ Arterial,14,2689
1997,Small Urban,Minor Arterial,16,5110
1997,Small Urban,Collector/Major Collector,17,2904
1997,Small Urban,Local,19,1655
1997,Urbanized,Interstate,11,41742
1997,Urbanized,Other Fwys & Exp,12,40003
1997,Urbanized,Other Princ Arterial,14,48059
1997,Urbanized,Minor Arterial,16,47313
1997,Urbanized,Collector/Major Collector*,17,22537
1997,Urbanized,Local,19,27314
1998,Rural,Interstate,1,17599
1998,Rural,Other Princ Arterial**,2,14710
1998,Rural,Minor Arterial,6,16211
1998,Rural,Major Collector,7,12905
1998,Rural,Minor Collector,8,21290
1998,Rural,Local,9,10547
1998,Small Urban,Interstate,11,1847
1998,Small Urban,Other Fwys & Exp,12,955
1998,Small Urban,Other Princ Arterial,14,2744
1998,Small Urban,Minor Arterial,16,5061
1998,Small Urban,Collector/Major Collector,17,2782
1998,Small Urban,Local,19,1866
1998,Urbanized,Interstate,11,42514
1998,Urbanized,Other Fwys & Exp,12,40199
1998,Urbanized,Other Princ Arterial,14,47834
1998,Urbanized,Minor Arterial,16,46604
1998,Urbanized,Collector/Major Collector*,17,21558
1998,Urbanized,Local,19,30789
1999,Rural,Interstate,1,19683
1999,Rural,Other Princ Arterial**,2,13713
1999,Rural,Minor Arterial,6,16868
1999,Rural,Major Collector,7,13582
1999,Rural,Minor Collector,8,24267
1999,Rural,Local,9,12022
1999,Small Urban,Interstate,11,2354
1999,Small Urban,Other Fwys & Exp,12,644
1999,Small Urban,Other Princ Arterial,14,2750
1999,Small Urban,Minor Arterial,16,5114
1999,Small Urban,Collector/Major Collector,17,2389
1999,Small Urban,Local,19,2127
1999,Urbanized,Interstate,11,44430
1999,Urbanized,Other Fwys & Exp,12,41586
1999,Urbanized,Other Princ Arterial,14,42386
1999,Urbanized,Minor Arterial,16,49443
1999,Urbanized,Collector/Major Collector*,17,18098
1999,Urbanized,Local,19,35095
2000,Rural,Interstate,1,20143
2000,Rural,Other Princ Arterial**,2,13853
2000,Rural,Minor Arterial,6,17015
2000,Rural,Major Collector,7,14176
2000,Rural,Minor Collector,8,23489
2000,Rural,Local,9,11636
2000,Small Urban,Interstate,11,2445
2000,Small Urban,Other Fwys & Exp,12,646
2000,Small Urban,Other Princ Arterial,14,2779
2000,Small Urban,Minor Arterial,16,5270
2000,Small Urban,Collector/Major Collector,17,2568
2000,Small Urban,Local,19,2059
2000,Urbanized,Interstate,11,44824
2000,Urbanized,Other Fwys & Exp,12,42598
2000,Urbanized,Other Princ Arterial,14,42973
2000,Urbanized,Minor Arterial,16,53659
2000,Urbanized,Collector/Major Collector*,17,18514
2000,Urbanized,Local,19,33969
2001,Rural,Interstate,1,20707
2001,Rural,Other Princ Arterial**,2,14027
2001,Rural,Minor Arterial,6,17075
2001,Rural,Major Collector,7,14463
2001,Rural,Minor Collector,8,24392
2001,Rural,Local,9,11949
2001,Small Urban,Interstate,11,2493
2001,Small Urban,Other Fwys & Exp,12,647
2001,Small Urban,Other Princ Arterial,14,2815
2001,Small Urban,Minor Arterial,16,5216
2001,Small Urban,Collector/Major Collector,17,2497
2001,Small Urban,Local,19,2052
2001,Urbanized,Interstate,11,45639
2001,Urbanized,Other Fwys & Exp,12,43140
2001,Urbanized,Other Princ Arterial,14,43454
2001,Urbanized,Minor Arterial,16,54177
2001,Urbanized,Collector/Major Collector*,17,18785
2001,Urbanized,Local,19,34920
2002,Rural,Interstate,1,20862
2002,Rural,Other Princ Arterial**,2,14069
2002,Rural,Minor Arterial,6,16895
2002,Rural,Major Collector,7,14293
2002,Rural,Minor Collector,8,25791
2002,Rural,Local,9,12629
2002,Small Urban,Interstate,11,2529
2002,Small Urban,Other Fwys & Exp,12,650
2002,Small Urban,Other Princ Arterial,14,2819
2002,Small Urban,Minor Arterial,16,5227
2002,Small Urban,Collector/Major Collector,17,2502
2002,Small Urban,Local,19,2169
2002,Urbanized,Interstate,11,45896
2002,Urbanized,Other Fwys & Exp,12,43292
2002,Urbanized,Other Princ Arterial,14,43464
2002,Urbanized,Minor Arterial,16,55560
2002,Urbanized,Collector/Major Collector*,17,18978
2002,Urbanized,Local,19,36917
2003,Rural,Interstate,1,21718
2003,Rural,Other Princ Arterial**,2,14354
2003,Rural,Minor Arterial,6,17146
2003,Rural,Major Collector,7,14934
2003,Rural,Minor Collector,8,25243
2003,Rural,Local,9,12360
2003,Small Urban,Interstate,11,2621
2003,Small Urban,Other Fwys & Exp,12,658
2003,Small Urban,Other Princ Arterial,14,2868
2003,Small Urban,Minor Arterial,16,5323
2003,Small Urban,Collector/Major Collector,17,2476
2003,Small Urban,Local,19,2123
2003,Urbanized,Interstate,11,46476
2003,Urbanized,Other Fwys & Exp,12,44567
2003,Urbanized,Other Princ Arterial,14,44326
2003,Urbanized,Minor Arterial,16,56719
2003,Urbanized,Collector/Major Collector*,17,19944
2003,Urbanized,Local,19,36136
2004,Rural,Interstate,1,22250
2004,Rural,Other Princ Arterial**,2,14748
2004,Rural,Minor Arterial,6,16953
2004,Rural,Major Collector,7,15426
2004,Rural,Minor Collector,8,25748
2004,Rural,Local,9,12607
2004,Small Urban,Interstate,11,2694
2004,Small Urban,Other Fwys & Exp,12,702
2004,Small Urban,Other Princ Arterial,14,2951
2004,Small Urban,Minor Arterial,16,5335
2004,Small Urban,Collector/Major Collector,17,2448
2004,Small Urban,Local,19,2165
2004,Urbanized,Interstate,11,48275
2004,Urbanized,Other Fwys & Exp,12,46310
2004,Urbanized,Other Princ Arterial,14,45594
2004,Urbanized,Minor Arterial,16,55569
2004,Urbanized,Collector/Major Collector*,17,20137
2004,Urbanized,Local,19,36858
2005,Rural,Interstate,1,16447
2005,Rural,Other Princ Arterial**,2,10864
2005,Rural,Minor Arterial,6,13982
2005,Rural,Major Collector,7,13024
2005,Rural,Minor Collector,8,25748
2005,Rural,Local,9,12607
2005,Small Urban,Interstate,11,2009
2005,Small Urban,Other Fwys & Exp,12,406
2005,Small Urban,Other Princ Arterial,14,3456
2005,Small Urban,Minor Arterial,16,5357
2005,Small Urban,Collector/Major Collector,17,2425
2005,Small Urban,Local,19,2165
2005,Urbanized,Interstate,11,54025
2005,Urbanized,Other Fwys & Exp,12,46451
2005,Urbanized,Other Princ Arterial,14,50744
2005,Urbanized,Minor Arterial,16,57938
2005,Urbanized,Collector/Major Collector*,17,26270
2005,Urbanized,Local,19,37446
2006,Rural,Interstate,1,17149
2006,Rural,Other Princ Arterial**,2,10632
2006,Rural,Minor Arterial,6,13984
2006,Rural,Major Collector,7,12200
2006,Rural,Minor Collector,8,25996
2006,Rural,Local,9,12728
2006,Small Urban,Interstate,11,2085
2006,Small Urban,Other Fwys & Exp,12,417
2006,Small Urban,Other Princ Arterial,14,3412
2006,Small Urban,Minor Arterial,16,5409
2006,Small Urban,Collector/Major Collector,17,2307
2006,Small Urban,Local,19,2186
2006,Urbanized,Interstate,11,54624
2006,Urbanized,Other Fwys & Exp,12,46959
2006,Urbanized,Other Princ Arterial,14,50243
2006,Urbanized,Minor Arterial,16,60855
2006,Urbanized,Collector/Major Collector*,17,28119
2006,Urbanized,Local,19,37950
2007,Rural,Interstate,1,17351
2007,Rural,Other Princ Arterial**,2,10841
2007,Rural,Minor Arterial,6,14019
2007,Rural,Major Collector,7,11573
2007,Rural,Minor Collector,8,25996
2007,Rural,Local,9,12728
2007,Small Urban,Interstate,11,2019
2007,Small Urban,Other Fwys & Exp,12,467
2007,Small Urban,Other Princ Arterial,14,3397
2007,Small Urban,Minor Arterial,16,5082
2007,Small Urban,Collector/Major Collector,17,2364
2007,Small Urban,Local,19,2186
2007,Urbanized,Interstate,11,54596
2007,Urbanized,Other Fwys & Exp,12,46501
2007,Urbanized,Other Princ Arterial,14,50536
2007,Urbanized,Minor Arterial,16,54221
2007,Urbanized,Collector/Major Collector*,17,22797
2007,Urbanized,Local,19,37950
2008,Rural,Interstate,1,16874
2008,Rural,Other Princ Arterial**,2,10576
2008,Rural,Minor Arterial,6,13140
2008,Rural,Major Collector,7,11306
2008,Rural,Minor Collector,8,25868
2008,Rural,Local,9,12728
2008,Small Urban,Interstate,11,1952
2008,Small Urban,Other Fwys & Exp,12,454
2008,Small Urban,Other Princ Arterial,14,3292
2008,Small Urban,Minor Arterial,16,4892
2008,Small Urban,Collector/Major Collector,17,2191
2008,Small Urban,Local,19,2186
2008,Urbanized,Interstate,11,54101
2008,Urbanized,Other Fwys & Exp,12,45420
2008,Urbanized,Other Princ Arterial,14,49124
2008,Urbanized,Minor Arterial,16,52264
2008,Urbanized,Collector/Major Collector*,17,22186
2008,Urbanized,Local,19,37797
2009,Rural,Interstate,1,16679
2009,Rural,Other Princ Arterial**,2,10429
2009,Rural,Minor Arterial,6,13149
2009,Rural,Major Collector,7,11541
2009,Rural,Minor Collector,8,25819
2009,Rural,Local,9,12689
2009,Small Urban,Interstate,11,1886
2009,Small Urban,Other Fwys & Exp,12,430
2009,Small Urban,Other Princ Arterial,14,3271
2009,Small Urban,Minor Arterial,16,4990
2009,Small Urban,Collector/Major Collector,17,2189
2009,Small Urban,Local,19,2193
2009,Urbanized,Interstate,11,54115
2009,Urbanized,Other Fwys & Exp,12,45822
2009,Urbanized,Other Princ Arterial,14,48979
2009,Urbanized,Minor Arterial,16,51609
2009,Urbanized,Collector/Major Collector*,17,21967
2009,Urbanized,Local,19,37969
2010,Rural,Interstate,1,16807
2010,Rural,Other Princ Arterial**,2,10518
2010,Rural,Minor Arterial,6,13108
2010,Rural,Major Collector,7,11383
2010,Rural,Minor Collector,8,25750
2010,Rural,Local,9,12641
2010,Small Urban,Interstate,11,1886
2010,Small Urban,Other Fwys & Exp,12,450
2010,Small Urban,Other Princ Arterial,14,3226
2010,Small Urban,Minor Arterial,16,4722
2010,Small Urban,Collector/Major Collector,17,1868
2010,Small Urban,Local,19,2198
2010,Urbanized,Interstate,11,53776
2010,Urbanized,Other Fwys & Exp,12,45740
2010,Urbanized,Other Princ Arterial,14,48355
2010,Urbanized,Minor Arterial,16,49121
2010,Urbanized,Collector/Major Collector*,17,19941
2010,Urbanized,Local,19,38107
2011,Rural,Interstate,1,16852
2011,Rural,Other Princ Arterial**,2,10464
2011,Rural,Minor Arterial,6,12987
2011,Rural,Major Collector,7,11302
2011,Rural,Minor Collector,8,25683
2011,Rural,Local,9,12587
2011,Small Urban,Interstate,11,1814
2011,Small Urban,Other Fwys & Exp,12,578
2011,Small Urban,Other Princ Arterial,14,3081
2011,Small Urban,Minor Arterial,16,4700
2011,Small Urban,Collector/Major Collector,17,1846
2011,Small Urban,Local,19,2195
2011,Urbanized,Interstate,11,53032
2011,Urbanized,Other Fwys & Exp,12,45791
2011,Urbanized,Other Princ Arterial,14,47040
2011,Urbanized,Minor Arterial,16,43103
2011,Urbanized,Collector/Major Collector*,17,18724
2011,Urbanized,Local,19,38155
2012,Rural,Interstate,1,16869
2012,Rural,Other Princ Arterial**,2,10766
2012,Rural,Minor Arterial,6,12718
2012,Rural,Major Collector,7,11277
2012,Rural,Minor Collector,8,25609
2012,Rural,Local,9,12452
2012,Small Urban,Interstate,11,1829
2012,Small Urban,Other Fwys & Exp,12,567
2012,Small Urban,Other Princ Arterial,14,3200
2012,Small Urban,Minor Arterial,16,4546
2012,Small Urban,Collector/Major Collector,17,1835
2012,Small Urban,Local,19,2193
2012,Urbanized,Interstate,11,52882
2012,Urbanized,Other Fwys & Exp,12,46155
2012,Urbanized,Other Princ Arterial,14,47052
2012,Urbanized,Minor Arterial,16,43677
2012,Urbanized,Collector/Major Collector*,17,18502
2012,Urbanized,Local,19,38202
2013,Rural,Interstate,1,17340
2013,Rural,Other Princ Arterial**,2,1705
2013,Rural,Other Princ Arterial**,4,10729
2013,Rural,Minor Arterial,6,10726
2013,Rural,Major Collector,7,10997
2013,Rural,Minor Collector,8,25425
2013,Rural,Local,9,12333
2013,Small Urban,Interstate,11,1828
2013,Small Urban,Other Fwys & Exp,12,570
2013,Small Urban,Other Princ Arterial,14,3622
2013,Small Urban,Minor Arterial,16,4118
2013,Small Urban,Collector/Major Collector,17,1828
2013,Small Urban,Local,19,2185
2013,Urbanized,Interstate,11,54279
2013,Urbanized,Other Fwys & Exp,12,47370
2013,Urbanized,Other Princ Arterial,14,47511
2013,Urbanized,Minor Arterial,16,46138
2013,Urbanized,Collector/Major Collector*,17,18596
2013,Urbanized,Local,19,38142
2014,Small Urban,Collector/Major Collector,17,1895
2014,Small Urban,Interstate,11,2533
2014,Urbanized,Collector/Major Collector*,17,18824
2014,Urbanized,Local,19,38028
2014,Rural,Interstate,1,15860
2014,Small Urban,Minor Arterial,16,3773
2014,Rural,Major Collector,7,10239
2014,Urbanized,Minor Arterial,16,45350
2014,Rural,Minor Collector,8,25373
2014,Rural,Local,9,12249
2015,Small Urban,Local,19,2100
2014,Small Urban,Other Fwys & Exp,12,539
2014,Urbanized,Other Princ Arterial,14,48680
2014,Rural,Other Princ Arterial**,4,10706
2014,Rural,Other Princ Arterial**,2,1487
2014,Urbanized,Interstate,11,55621
2014,Urbanized,Other Fwys & Exp,12,47370
2014,Small Urban,Local,19,2119
2014,Rural,Minor Arterial,6,9467
2014,Small Urban,Other Princ Arterial,14,3574
2014,Small Urban,Collector/Major Collector,17,1895
1991,Urbanized,Other Princ Arterial,14,40705
2016,Rural,Other Fwys & Exp,2,2182
2002,Rural,Other Princ Arterial**,4,
1995,Small Urban,Collector/Major Collector,17,2541
1998,Urbanized,Collector/Major Collector*,17,21558
2001,Small Urban,Collector/Major Collector,17,2497
1990,Urbanized,Collector/Major Collector*,17,14451
1985,Rural,Minor Arterial,6,16015
2010,Rural,Local,9,12641
1999,Rural,Other Princ Arterial**,2,13713
1988,Rural,Other Princ Arterial**,4,
2002,Rural,Minor Collector,8,25791
2000,Small Urban,Interstate,11,2445
1995,Urbanized,Local,19,22832
2014,Small Urban,Interstate,11,2533
1994,Rural,Minor Collector,8,16600
2016,Urbanized,Interstate,11,54117
2012,Urbanized,Minor Arterial,16,43677
1987,Urbanized,Minor Arterial,16,41393
2013,Urbanized,Other Fwys & Exp,12,47370
2005,Small Urban,Collector/Major Collector,17,2425
2008,Urbanized,Collector/Major Collector*,17,22186
2013,Rural,Minor Arterial,6,10726
1988,Urbanized,Interstate,11,34951
1987,Small Urban,Minor Collector,18,
2005,Urbanized,Minor Collector,18,
2009,Urbanized,Collector/Major Collector*,17,21967
2002,Rural,Major Collector,7,14293
1985,Small Urban,Other Fwys & Exp,12,771
2008,Small Urban,Other Fwys & Exp,12,454
1989,Rural,Other Princ Arterial**,2,12389
2011,Urbanized,Interstate,11,53032
1999,Rural,Minor Collector,8,24267
1987,Small Urban,Minor Arterial,16,2847
2001,Urbanized,Minor Collector,18,
2004,Urbanized,Minor Collector,18,
2016,Urbanized,Other Princ Arterial,14,49120
1990,Urbanized,Local,19,21077
1999,Rural,Minor Arterial,6,16868
2001,Rural,Major Collector,7,14463
1993,Urbanized,Collector/Major Collector*,17,22889
1999,Small Urban,Collector/Major Collector,17,2389
1989,Urbanized,Minor Arterial,16,43827
1998,Small Urban,Other Fwys & Exp,12,955
2004,Small Urban,Other Princ Arterial,14,2951
2008,Urbanized,Minor Collector,18,
2006,Small Urban,Interstate,11,2085
2015,Small Urban,Minor Collector,18,155
1987,Rural,Other Princ Arterial**,4,
1990,Small Urban,Interstate,11,1260
2007,Urbanized,Minor Arterial,16,54221
1985,Small Urban,Minor Arterial,16,3991
2007,Small Urban,Other Princ Arterial,14,3397
1994,Rural,Interstate,1,15279
2003,Rural,Local,9,12360
1998,Urbanized,Other Fwys & Exp,12,40199
2005,Small Urban,Local,19,2165
1998,Urbanized,Local,19,30789
1987,Rural,Minor Collector,8,12487
2015,Small Urban,Other Princ Arterial,14,3574
2001,Urbanized,Collector/Major Collector*,17,18785
2004,Urbanized,Collector/Major Collector*,17,20137
2015,Urbanized,Interstate,11,54052
1985,Urbanized,Collector/Major Collector*,17,11275
2007,Rural,Minor Arterial,6,14019
2016,Urbanized,Other Fwys & Exp,12,45625
2006,Small Urban,Minor Arterial,16,5409
1995,Small Urban,Interstate,11,1670
2016,Rural,Other Princ Arterial,4,10219
1989,Urbanized,Interstate,11,36594
2015,Small Urban,Other Fwys & Exp,12,526
2009,Small Urban,Minor Arterial,16,4990
1998,Rural,Local,9,10547
1994,Rural,Local,9,9135
2007,Small Urban,Interstate,11,2019
1987,Urbanized,Collector/Major Collector*,17,14188
1986,Small Urban,Minor Collector,18,
1996,Urbanized,Other Princ Arterial,14,45603
2001,Urbanized,Minor Arterial,16,54177
1996,Rural,Minor Collector,8,17826
2006,Small Urban,Other Fwys & Exp,12,417
2012,Rural,Minor Arterial,6,12718
2010,Urbanized,Other Princ Arterial,14,48355
1994,Urbanized,Minor Collector,18,
2001,Rural,Local,9,11949
1999,Urbanized,Interstate,11,44430
1987,Urbanized,Other Princ Arterial,14,39062
1993,Rural,Other Princ Arterial**,2,13924
2005,Urbanized,Local,19,37446
2014,Urbanized,Collector/Major Collector*,17,18824
1985,Rural,Minor Collector,8,11726
1986,Urbanized,Minor Collector,18,
1997,Urbanized,Collector/Major Collector*,17,22537
1989,Rural,Interstate,1,15112
1993,Small Urban,Minor Collector,18,
2002,Urbanized,Minor Collector,18,
1991,Rural,Interstate,1,15524
1993,Urbanized,Minor Arterial,16,42039
1993,Small Urban,Local,19,1489
1990,Rural,Local,9,9355
2006,Urbanized,Minor Collector,18,
2005,Small Urban,Minor Arterial,16,5357
2000,Rural,Major Collector,7,14176
1998,Small Urban,Collector/Major Collector,17,2782
2014,Urbanized,Local,19,38028
1986,Rural,Major Collector,7,13639
2013,Small Urban,Other Fwys & Exp,12,570
2014,Rural,Interstate,1,15860
1991,Small Urban,Other Fwys & Exp,12,716
1994,Rural,Minor Arterial,6,16066
2012,Rural,Major Collector,7,11277
2012,Rural,Other Princ Arterial**,4,
2004,Urbanized,Local,19,36858
1994,Urbanized,Other Fwys & Exp,12,39642
1985,Small Urban,Local,19,1949
1988,Urbanized,Collector/Major Collector*,17,14200
1994,Rural,Major Collector,7,14525
1987,Rural,Local,9,10608
2016,Small Urban,Other Princ Arterial,14,3659
2003,Urbanized,Local,19,36136
1995,Small Urban,Minor Arterial,16,5057
2009,Urbanized,Minor Arterial,16,51609
1990,Rural,Interstate,1,15448
2012,Urbanized,Minor Collector,18,
2015,Urbanized,Other Fwys & Exp,12,45530
1993,Urbanized,Interstate,11,38175
1997,Small Urban,Minor Collector,18,
1994,Small Urban,Minor Collector,18,
2015,Small Urban,Collector/Major Collector,17,1865
1995,Small Urban,Minor Collector,18,
2010,Rural,Other Princ Arterial**,4,
1985,Urbanized,Minor Collector,18,
2000,Small Urban,Other Fwys & Exp,12,646
2002,Urbanized,Other Fwys & Exp,12,43292
2005,Small Urban,Interstate,11,2009
1990,Small Urban,Collector/Major Collector,17,1571
1986,Rural,Local,9,10580
2013,Urbanized,Collector/Major Collector*,17,18596
1999,Small Urban,Interstate,11,2354
1997,Small Urban,Other Princ Arterial,14,2689
1999,Urbanized,Collector/Major Collector*,17,18098
1996,Small Urban,Minor Arterial,16,5107
2001,Urbanized,Other Princ Arterial,14,43454
1992,Urbanized,Other Princ Arterial,14,43127
1987,Rural,Major Collector,7,13288
2016,Rural,Minor Collector,8,6993
1996,Urbanized,Interstate,11,40543
1995,Rural,Local,9,8788
2015,Rural,Major Collector,7,10165
2000,Rural,Other Princ Arterial**,2,13853
2011,Urbanized,Minor Arterial,16,43103
2015,Urbanized,Minor Collector,18,281
2005,Small Urban,Other Fwys & Exp,12,406
1994,Small Urban,Interstate,11,1623
2000,Small Urban,Minor Collector,18,
2005,Rural,Other Princ Arterial**,4,
2008,Small Urban,Local,19,2186
1992,Small Urban,Other Princ Arterial,14,2968
2011,Small Urban,Collector/Major Collector,17,1846
2005,Urbanized,Other Fwys & Exp,12,46451
1997,Rural,Minor Arterial,6,16580
1995,Rural,Other Princ Arterial**,2,14737
2002,Rural,Minor Arterial,6,16895
2012,Urbanized,Local,19,38202
2003,Small Urban,Minor Arterial,16,5323
2004,Rural,Other Princ Arterial**,4,
2013,Small Urban,Interstate,11,1828
1994,Rural,Other Princ Arterial**,2,13859
1997,Rural,Interstate,1,16915
1988,Small Urban,Other Princ Arterial,14,4046
2006,Rural,Other Princ Arterial**,4,
1985,Rural,Local,9,9979
2011,Small Urban,Other Princ Arterial,14,3081
1993,Small Urban,Other Fwys & Exp,12,928
2012,Urbanized,Other Princ Arterial,14,47052
2005,Rural,Local,9,12607
1986,Urbanized,Interstate,11,31794
1985,Urbanized,Interstate,11,30083
2016,Rural,Local,9,13119
1992,Rural,Local,9,8876
1988,Small Urban,Minor Arterial,16,2948
1994,Urbanized,Other Princ Arterial,14,44669
2000,Urbanized,Local,19,33969
2007,Urbanized,Other Princ Arterial,14,50536
1985,Small Urban,Collector/Major Collector,17,1380
1993,Rural,Local,9,8812
2015,Rural,Other Princ Arterial**,4,10655
2005,Small Urban,Minor Collector,18,
1986,Small Urban,Minor Arterial,16,2697
2015,Urbanized,Collector/Major Collector*,17,18470
2002,Urbanized,Minor Arterial,16,55560
1991,Urbanized,Local,19,21150
2014,Small Urban,Minor Arterial,16,3773
2009,Urbanized,Local,19,37969
2016,Urbanized,Major Collector,17,18282
2012,Rural,Other Princ Arterial**,2,10766
2009,Urbanized,Other Princ Arterial,14,48979
1998,Rural,Major Collector,7,12905
2007,Small Urban,Minor Arterial,16,5082
1993,Small Urban,Other Princ Arterial,14,2914
1989,Small Urban,Minor Collector,18,
2011,Rural,Other Princ Arterial**,2,10464
2000,Urbanized,Other Princ Arterial,14,42973
1991,Small Urban,Collector/Major Collector,17,1549
2010,Small Urban,Interstate,11,1886
1996,Rural,Interstate,1,16379
1989,Rural,Minor Arterial,6,18724
1987,Urbanized,Interstate,11,33813
1995,Small Urban,Other Princ Arterial,14,2630
2000,Rural,Interstate,1,20143
2013,Urbanized,Local,19,38142
2009,Rural,Minor Arterial,6,13149
2016,Urbanized,Minor Collector,18,297
2006,Rural,Other Princ Arterial**,2,10632
2015,Small Urban,Interstate,11,2536
2010,Rural,Other Princ Arterial**,2,10518
1997,Rural,Other Princ Arterial**,2,14492
1999,Rural,Local,9,12022
2004,Small Urban,Collector/Major Collector,17,2448
1998,Rural,Interstate,1,17599
1996,Rural,Major Collector,7,13859
2000,Urbanized,Minor Arterial,16,53659
1997,Rural,Minor Collector,8,18887
2015,Small Urban,Minor Arterial,16,3716
1994,Urbanized,Local,19,22628
1989,Urbanized,Minor Collector,18,
1992,Urbanized,Minor Collector,18,
1995,Urbanized,Other Fwys & Exp,12,41810
2013,Urbanized,Interstate,11,54279
2010,Rural,Major Collector,7,11383
2002,Rural,Other Princ Arterial**,2,14069
1996,Small Urban,Local,19,1620
2005,Rural,Major Collector,7,13024
1987,Small Urban,Interstate,11,1090
2001,Rural,Minor Arterial,6,17075
1992,Small Urban,Minor Collector,18,
1996,Small Urban,Other Princ Arterial,14,2663
2014,Rural,Major Collector,7,10239
1997,Rural,Major Collector,7,12555
2014,Urbanized,Minor Collector,18,298
2016,Small Urban,Local,19,2396
1991,Rural,Other Princ Arterial**,4,
1989,Small Urban,Other Fwys & Exp,12,914
1990,Small Urban,Other Princ Arterial,14,4529
2006,Small Urban,Other Princ Arterial,14,3412
1996,Small Urban,Other Fwys & Exp,12,962
2006,Small Urban,Local,19,2186
1990,Small Urban,Minor Collector,18,
1988,Small Urban,Local,19,1289
2016,Small Urban,Interstate,11,2557
1998,Small Urban,Other Princ Arterial,14,2744
2003,Small Urban,Local,19,2123
2012,Rural,Local,9,12452
1988,Urbanized,Local,19,20981
2008,Small Urban,Minor Collector,18,
2006,Rural,Minor Collector,8,25996
2013,Small Urban,Minor Arterial,16,4118
1987,Rural,Other Princ Arterial**,2,11485
2007,Rural,Other Princ Arterial**,2,10841
2006,Rural,Local,9,12728
1994,Urbanized,Interstate,11,38451
1988,Small Urban,Interstate,11,1211
1991,Rural,Minor Collector,8,14944
1999,Urbanized,Minor Collector,18,
1992,Urbanized,Local,19,21848
1988,Small Urban,Collector/Major Collector,17,1274
1990,Urbanized,Minor Arterial,16,41264
2014,Urbanized,Minor Arterial,16,45350
2000,Small Urban,Local,19,2059
1986,Small Urban,Local,19,2125
1992,Small Urban,Minor Arterial,16,4658
1997,Small Urban,Local,19,1655
2003,Urbanized,Interstate,11,46476
1998,Rural,Minor Arterial,6,16211
1985,Urbanized,Other Fwys & Exp,12,28396
1999,Rural,Interstate,1,19683
2008,Urbanized,Interstate,11,54101
2005,Rural,Interstate,1,16447
1992,Rural,Minor Arterial,6,15611
1990,Rural,Major Collector,7,14995
2008,Small Urban,Collector/Major Collector,17,2191
1985,Small Urban,Interstate,11,1003
1987,Rural,Interstate,1,14161
1999,Rural,Major Collector,7,13582
1994,Small Urban,Local,19,1450
2004,Rural,Local,9,12607
2012,Small Urban,Interstate,11,1829
2015,Urbanized,Local,19,37814
1989,Urbanized,Other Princ Arterial,14,42391
2000,Small Urban,Collector/Major Collector,17,2568
1989,Small Urban,Minor Arterial,16,3110
1998,Rural,Other Princ Arterial**,2,14710
2012,Urbanized,Interstate,11,52882
1987,Small Urban,Other Fwys & Exp,12,762
2004,Rural,Major Collector,7,15426
1996,Rural,Other Princ Arterial**,2,14992
1993,Small Urban,Minor Arterial,16,4676
2010,Small Urban,Minor Collector,18,
1997,Urbanized,Minor Collector,18,
1991,Urbanized,Collector/Major Collector*,17,16274
1989,Rural,Major Collector,7,15168
1995,Urbanized,Minor Arterial,16,43977
1985,Rural,Major Collector,7,12125
2006,Urbanized,Other Fwys & Exp,12,46959
1995,Small Urban,Local,19,1596
2000,Rural,Local,9,11636
1986,Small Urban,Other Fwys & Exp,12,699
1988,Rural,Other Princ Arterial**,2,11498
2008,Small Urban,Minor Arterial,16,4892
1999,Urbanized,Other Princ Arterial,14,42386
1998,Small Urban,Minor Arterial,16,5061
1998,Urbanized,Other Princ Arterial,14,47834
1995,Rural,Minor Arterial,6,14396
2015,Rural,Local,9,12060
1989,Rural,Minor Collector,8,14269
1990,Small Urban,Minor Arterial,16,3195
2009,Urbanized,Interstate,11,54115
2009,Rural,Minor Collector,8,25819
1989,Small Urban,Other Princ Arterial,14,4132
2002,Rural,Interstate,1,20862
2001,Small Urban,Other Princ Arterial,14,2815
2004,Small Urban,Minor Arterial,16,5335
1989,Rural,Local,9,9273
2013,Rural,Interstate,1,17340
2009,Small Urban,Other Fwys & Exp,12,430
1997,Small Urban,Other Fwys & Exp,12,998
1998,Rural,Other Princ Arterial**,4,
2000,Urbanized,Minor Collector,18,
2003,Urbanized,Minor Collector,18,
1999,Urbanized,Other Fwys & Exp,12,41586
1987,Rural,Minor Arterial,6,17293
2004,Small Urban,Interstate,11,2694
1990,Urbanized,Interstate,11,36858
1991,Small Urban,Local,19,1303
